TransactionId,Hour,VoidsAmount,IsVoidFollowedByDrawerOpen,IsVoided,IsReturn,IsReceiptReprinted,NonScannedItems,ManualOverrideAmount,ReturnsAmount,PriceLookupTrxTotalAmount,VoidedItemsAmount,DiscountAmount,IsTrainingMode,TotalAmount,ItemCount,StoreId,BusinessDate,MaxWeightToPriceRatioItemId,IsFraud
tr1,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,13.7,6,32,09/05/2023,2.04E+11,FALSE
tr2,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11.56,6,15,09/07/2023,2.07E+11,FALSE
tr3,15,0,FALSE,FALSE,TRUE,FALSE,1,1,4.49,0,0,0,FALSE,581.41,6,7,09/04/2023,,FALSE
tr4,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,16.31,8,10,09/04/2023,2.03E+11,FALSE
tr5,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,16.24,8,16,09/06/2023,2.03E+11,FALSE
tr6,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,33.13,11,18,09/06/2023,2.04E+11,FALSE
tr7,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,9.87,4,24,09/05/2023,2.03E+11,FALSE
tr8,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,11.37,6,37,09/07/2023,2.03E+11,FALSE
tr9,13,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,16.26,10,7,09/05/2023,2.07E+11,FALSE
tr10,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,11.34,5,28,09/04/2023,47300,FALSE
tr11,15,0,FALSE,FALSE,TRUE,FALSE,1,0,4.1,0,0,0,FALSE,283.52,2,29,09/07/2023,,FALSE
tr12,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,10.02,6,38,09/05/2023,30400,FALSE
tr13,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,17.33,6,22,09/06/2023,2.01E+11,FALSE
tr14,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,4.78,3,36,09/06/2023,40800,FALSE
tr15,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,40.55,14,36,09/05/2023,2.05E+11,FALSE
tr16,12,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,8.95,7,17,09/04/2023,2.08E+11,FALSE
tr17,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,8.7,4,21,09/01/2023,2.04E+11,FALSE
tr18,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,24.91,9,9,09/04/2023,2.03E+11,FALSE
tr19,13,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,7.21,5,35,09/05/2023,40480,FALSE
tr20,13,0,FALSE,FALSE,TRUE,TRUE,1,0,6.79,0,0,0,FALSE,143.9,2,35,09/06/2023,,FALSE
tr21,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,8.18,6,45,09/07/2023,2.04E+11,FALSE
tr22,13,0,FALSE,FALSE,FALSE,FALSE,6,0,0,0,0,0,FALSE,25.09,14,21,09/06/2023,47810,FALSE
tr23,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,8.84,5,19,09/01/2023,2.02E+11,FALSE
tr24,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,8.31,6,28,09/05/2023,2.05E+11,FALSE
tr25,15,0,FALSE,FALSE,FALSE,TRUE,2,0,0,0,0,0,FALSE,6.63,5,11,09/04/2023,47190,FALSE
tr26,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,15.72,7,40,09/04/2023,2.03E+11,FALSE
tr27,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,7.32,3,25,09/04/2023,2.03E+11,FALSE
tr28,13,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,13.14,6,4,09/06/2023,2.04E+11,FALSE
tr29,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,43.01,12,2,09/04/2023,2.09E+11,FALSE
tr30,12,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,25.33,16,39,09/04/2023,2.07E+11,FALSE
tr31,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,5.85,5,24,09/07/2023,45920,FALSE
tr32,15,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,45.09,14,20,09/04/2023,2.05E+11,FALSE
tr33,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,31.18,13,34,09/05/2023,2.07E+11,FALSE
tr34,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,12.36,6,39,09/01/2023,2.02E+11,FALSE
